UserID,Condition,Gender,Grade,Complete,Anxiety,Pre,ImprovementAbsolute,ImprovementAdjusted,Engagement
350,Online D,boy,3,Y,15,4,0,1,3.71
351,Online D,boy,3,Y,13,3,4,4,3.29
352,Online A,girl,2,Y,13,2,3,3,3.43
355,Online D,boy,4,Y,22,5,3,3,3.57
344,Online D,girl,4,Y,11,8,0,0,3.14
357,Online D,girl,2,Y,18,3,-3,0,3.14
358,Online D,boy,4,Y,17,2,1,1,3.57
359,Online D,girl,4,Y,21,4,4,4,3.43
360,Online D,boy,3,Y,15,4,3,3,3.57
363,Online D,boy,3,Y,24,4,3,3,3.86
364,Online D,girl,4,Y,12,8,0,0,3.29
378,Online D,girl,4,Y,20,3,-1,0,2.29
365,Online D,girl,4,Y,21,8,0,0,3.29
366,Online D,boy,3,Y,27,1,0,0,3.71
367,Online D,boy,4,Y,28,3,0,3,3.14
371,Online A,boy,3,Y,21,8,0,0,3.57
372,Online A,girl,4,Y,12,8,0,0,2.57
373,Online A,boy,4,Y,11,8,0,0,2.86
374,Online A,girl,4,Y,13,8,0,0,3.14
377,Online D,boy,2,Y,20,4,2,2,3.71
368,Online A,boy,2,Y,18,0,1,1,1.86
382,Online D,boy,4,Y,21,4,3,3,3
383,Online D,girl,4,Y,30,3,2,5,3.14
384,Online D,girl,4,Y,26,4,0,0,3.14
385,Online D,boy,4,Y,15,2,1,1,3.57
387,Online D,girl,4,Y,17,6,1,1,3.71
389,Online D,girl,4,Y,20,0,8,8,3.57
104,Online D,girl,3,Y,13,5,3,3,3
390,Online D,boy,3,Y,11,7,0,1,3.43
391,Online D,girl,3,Y,18,4,2,3,2.14
388,Online D,girl,2,Y,23,4,0,0,4
392,Online A,girl,3,Y,18,6,2,2,3.86
393,Online D,boy,3,Y,15,3,2,3,3
395,Online D,girl,2,Y,16,3,0,1,3.86
396,Online D,boy,3,Y,12,5,0,2,3.43
398,Online D,girl,2,Y,22,3,-1,1,3.43
376,Online A,girl,4,Y,27,8,-1,0,3.71
403,Online D,boy,4,Y,12,6,2,2,3.43
404,Online D,girl,3,Y,27,2,6,6,1.43
405,Online D,boy,2,Y,12,7,0,0,3.57
407,Online D,girl,3,Y,23,4,2,3,3.43
410,Online D,boy,2,Y,13,4,3,3,3.57
413,Online A,girl,2,Y,24,2,-1,0,3.71
415,Online D,boy,3,Y,18,2,0,0,2.86
419,Online D,girl,4,Y,14,3,3,3,3.57
422,Online D,boy,2,Y,20,3,3,3,
423,Online D,girl,2,Y,24,3,2,3,3.29
433,Online D,boy,2,Y,24,4,3,3,2
435,Online D,boy,2,Y,18,7,0,0,3.86
436,Online D,boy,2,Y,10,8,0,0,3.57
442,Online D,girl,2,Y,21,2,0,0,3.43
427,Online D,girl,4,Y,18,2,0,1,3.57
428,Online D,girl,3,Y,13,4,0,0,2.71
456,Online D,girl,4,Y,27,3,1,2,2.86
430,Online D,boy,4,Y,37,1,2,2,3.71
432,Online A,boy,3,Y,21,7,0,0,3.14
457,Online D,boy,4,N,26,2,-2,0,2.86
459,Online D,boy,2,N,9,1,1,2,
458,Online A,girl,4,Y,17,3,0,0,3.57
454,Online A,boy,3,Y,15,8,-1,0,3.29
455,Online A,boy,2,Y,18,6,0,1,3.71
411,Online D,boy,3,Y,17,2,1,1,4
437,Online D,boy,4,Y,12,8,-1,0,3.14
440,Online A,boy,2,Y,24,1,1,1,2.29
441,Online D,girl,3,Y,12,2,-2,0,3.71
443,Online D,boy,3,Y,10,8,0,0,3.71
444,Online A,girl,2,Y,19,2,2,2,3.71
445,Online D,boy,3,Y,14,7,1,1,3.43
446,Online A,boy,4,Y,12,5,1,2,3.29
448,Online D,boy,2,Y,16,4,3,4,3.86
449,Online D,girl,2,Y,16,8,0,0,3.57
450,Online A,girl,3,Y,16,2,3,4,3.29
451,Online A,boy,3,Y,11,8,0,0,3.29
463,Online D,boy,3,Y,20,4,0,0,3.43
464,Online D,girl,4,N,12,2,0,0,3.43
465,Online D,boy,3,Y,12,3,0,1,3.71
505,Online D,boy,2,Y,20,1,3,3,3.57
467,Online D,girl,3,Y,26,3,1,1,4
469,Online A,girl,2,Y,13,1,1,1,2.43
474,Online A,girl,2,N,36,1,0,1,2
475,Online D,boy,4,Y,9,7,0,1,3.71
476,Online D,boy,4,Y,21,6,1,1,3.86
477,Online A,girl,3,Y,16,7,1,1,3.71
478,Online D,boy,2,Y,10,4,2,3,3.86
461,Online D,boy,4,Y,26,4,3,3,3.43
479,Online D,boy,2,Y,35,3,4,4,3.29
512,Online D,girl,2,Y,15,2,0,2,2.71
513,Online D,girl,3,Y,27,8,0,0,3.86
514,Online D,girl,2,N,30,4,0,0,1.57
515,Online D,girl,4,Y,20,8,0,0,3.71
516,Online D,girl,3,Y,17,6,1,1,3.29
517,Online D,boy,3,Y,12,7,1,1,3.71
508,Online A,boy,3,Y,11,8,0,0,2.86
511,Online D,girl,2,Y,16,2,-1,0,3.86
338,Online D,boy,2,Y,24,6,1,1,3.86
417,Online D,girl,4,Y,10,8,-1,0,2.29
354,Online D,boy,3,Y,12,8,0,0,3.71
519,Online D,boy,2,N,26,3,0,1,3.86
520,Online A,boy,4,Y,11,7,1,1,2.71
524,Online D,girl,2,Y,12,3,0,1,2.29
525,Online D,girl,4,Y,30,0,2,2,3.57
521,Online D,girl,3,Y,21,8,0,0,3.57
526,Online D,girl,2,Y,11,5,1,1,3.57
510,Online D,girl,2,Y,22,8,0,0,3.43
527,Online D,boy,2,Y,16,6,2,2,3.43
528,Online D,girl,2,Y,16,2,5,6,4
522,Online A,boy,4,Y,23,3,0,1,3.71
523,Online D,boy,3,Y,20,4,0,0,3.43
530,Online D,boy,2,Y,14,6,2,2,3.43
533,Online D,girl,2,Y,21,4,0,0,2.86
532,Online D,girl,3,Y,21,4,0,0,3.71
470,Online A,boy,4,Y,19,8,0,0,3.57
536,Online D,boy,2,Y,21,2,4,5,3
537,Online D,girl,3,Y,22,3,1,2,2.43
539,Online D,boy,3,Y,19,4,1,4,3.86
547,Online D,boy,4,Y,45,8,0,0,4
548,Online D,girl,3,Y,38,8,0,0,3.29
549,Online D,girl,2,N,13,2,0,0,3.29
552,Online D,girl,2,Y,20,5,3,3,3.86
540,Online D,boy,2,Y,12,8,0,0,4
542,Online D,boy,3,Y,19,2,5,5,3
543,Online D,girl,2,Y,23,3,3,4,3.43
544,Online D,girl,2,Y,14,2,0,0,3.14
545,Online D,girl,4,Y,15,4,0,0,1.57
429,Online D,girl,4,Y,15,3,0,1,3.71
553,Online D,boy,3,Y,11,7,0,1,2.57
555,Online D,girl,4,Y,38,1,2,2,3.57
556,Online D,boy,2,Y,25,4,3,3,3.57
557,Online D,girl,4,Y,21,7,0,1,3.71
564,Online D,girl,2,N,11,3,0,1,2.29
565,Online D,girl,4,Y,15,2,2,3,4
566,Online D,girl,2,Y,16,5,-1,2,3.86
558,Online D,boy,2,Y,16,4,4,4,3.57
559,Online D,boy,2,Y,25,8,0,0,3.29
560,Online A,girl,2,Y,14,1,0,1,2.71
561,Online A,girl,2,Y,13,8,0,0,3.57
563,Online D,girl,3,Y,10,4,1,1,4
567,Online D,girl,3,Y,19,3,4,5,3.29
568,Online A,girl,2,Y,11,4,3,3,3.86
569,Online A,boy,3,Y,15,7,1,1,2.14
571,Online D,boy,3,Y,9,8,0,0,3.57
572,Online A,boy,3,Y,13,7,1,1,3
577,Online A,girl,2,Y,21,4,3,3,3.71
573,Online D,boy,3,Y,16,6,1,1,3.29
574,Online D,boy,2,Y,9,8,0,0,3.29
575,Online D,boy,3,Y,27,6,1,2,3.43
576,Online D,boy,3,Y,18,3,1,1,3.86
578,Online A,girl,2,Y,17,4,3,3,3.71
579,Online D,boy,2,Y,17,8,0,0,3.43
580,Online A,girl,3,Y,13,4,4,4,3
581,Online D,boy,2,Y,15,8,0,0,3.57
584,Online A,girl,2,Y,22,1,1,1,3.57
562,Online D,girl,3,Y,29,4,0,2,3.43
586,Online A,girl,2,Y,9,5,1,1,3.14
588,Online D,boy,4,Y,13,4,4,4,3.43
589,Online D,boy,4,Y,16,3,0,0,3.43
595,Online D,boy,2,N,23,4,0,0,3.57
590,Online D,boy,2,Y,24,3,0,1,4
591,Online D,girl,4,Y,32,6,0,0,3.71
592,Online A,boy,3,Y,18,8,0,0,3.57
529,Online D,boy,3,Y,12,3,4,4,3.14
531,Online A,boy,4,Y,11,8,0,0,3.57
593,Online D,girl,3,Y,14,3,3,5,3.86
541,Online D,girl,3,Y,12,6,0,1,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
