,user_id,input_message_kid,stage,total_attempts_in_stage,grade_norm,pre-score_norm,stage_norm,failed_attempts_norm,pos_norm,neg_norm,hel_norm,anxiety_norm,action,output,postive_feedback,reward,grade,completed,pre,post,adjusted_score,anxiety,time_stored
181,145,idk,3,38,0.,-1.,0.,2.8,-1.,1.,-1.,-0.16666667,0,A unit cube is a cube of which each side is 1 unit long. The volume of a unit cube is one cubic unit.,True,0.11,3,True,0,6,6,24,"11-01-2020-13:40:53-PST
"
182,145,idk,,,0.,-1.,0.,2.8,-1.,1.,-1.,-0.16666667,3,I think we can use an equation! Think about what equation you can use to solve this problem.,None,5.9750000000000005,3,True,0,6,6,24,"11-01-2020-13:40:53-PST
"
183,146,What's the answer,,,0.,1.,0.,-0.9,-1.,-1.,1.,-0.77777778,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,-0.0020000000000000018,3,True,8,8,0,13,"11-01-2020-13:40:53-PST
"
184,144,a little hard,1,1,-1.,1.,-0.66666667,-0.9,-1.,0.05,1.,-0.05555556,2,You’re doing a great job so far. Just keep trying!,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
185,144,is it 5 or 4...,1,1,-1.,1.,-0.66666667,-0.9,-1.,-1.,-1.,-0.05555556,1,:),None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
186,144,um... not really helpful but... at least you let my know that it's 5 or 4. :|,1,1,-1.,1.,-0.66666667,-0.9,-1.,-0.56,1.,-0.05555556,3,Hm... let's keep thinking!,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
187,144,Great idea! But... uhhhh... hmmmm... nothing yet🤷🏻‍♂️,1,1,-1.,1.,-0.66666667,-0.9,-0.154,-1.,-1.,-0.05555556,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
188,144,ok :),1,1,-1.,1.,-0.66666667,-0.9,1.,-1.,-1.,-0.05555556,3,Hm... let's keep thinking!,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
189,144,"I said, I knew that, \(ºcº)/!",2,1,-1.,1.,-0.33333333,-0.9,-1.,-1.,-1.,-0.05555556,2,"If we put our minds together, we can figure this problem out!",None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
190,144,ok I got 6,2,1,-1.,1.,-0.33333333,-0.9,0.376,-1.,-1.,-0.05555556,3,Hm... let's keep thinking!,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
191,144,I know that...   thats why I got the correct answer anyways. hmmmm...,1,1,-1.,1.,-0.66666667,-0.9,-1.,-1.,1.,-0.05555556,0,Move your mouse along the width to count how many chocolates would fit along the width.,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
192,144,5?,1,1,-1.,1.,-0.66666667,-0.9,-1.,-1.,-1.,-0.05555556,0,"By sliding the chocolate along the width of the box and using the chocolate as a reference, you will find that the width fits 5 chocolates.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
193,144,"Now the length, hmmmm...",2,1,-1.,1.,-0.33333333,-0.9,-1.,-1.,-1.,-0.05555556,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
194,144,I got six,2,1,-1.,1.,-0.33333333,-0.9,-1.,-1.,-1.,-0.05555556,0,Move your mouse along the length to count how many chocolates would fit along the length.,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
195,144,got it!,2,1,-1.,1.,-0.33333333,-0.9,-1.,-1.,-1.,-0.05555556,1,:),None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
196,144,🤷🏻‍♂️,2,1,-1.,1.,-0.33333333,-0.9,-1.,-1.,-1.,-0.05555556,0,"By sliding the chocolate along the length of the box and using the chocolate as a reference, you will find that the length fits 6 chocolates",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
197,144,ok got it! thanks!,3,1,-1.,1.,0.,-0.9,0.48,-1.,-1.,-0.05555556,3,Try thinking about the concept of volume to solve this problem.,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
198,144,"ok, 6 x 5 x 3 = ... hmmmm... oh I know! 90!",3,1,-1.,1.,0.,-0.9,-0.284,-1.,1.,-0.05555556,2,We’re almost there! We’re so close to getting to cross the river and saving the villagers from the fire.,None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
199,144,yup,4,1,-1.,1.,0.33333333,-0.9,-1.,-1.,-1.,-0.05555556,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
200,144,90 x 2 = 180!                               ,4,1,-1.,1.,0.33333333,-0.9,-1.,-1.,-1.,-0.05555556,0,"If you multiply the weight per chocolate with the number of chocolates, you will get how much the box of chocolates weighs.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
201,144,,3,1,-1.,1.,0.,-0.9,-1.,-1.,-1.,-0.05555556,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
202,144,"hmmm wait for me, I have to go to the bathroom!",4,1,-1.,1.,0.33333333,-0.9,-1.,-1.,-1.,-0.05555556,0,Weight of the box of chocolates,None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
203,144," one thing, I forgot how many ounces I weigh and I don't know how much you weigh in the first place",5,1,-1.,1.,0.66666667,-0.9,-1.,-1.,1.,-0.05555556,2,"If we put our minds together, we can figure this problem out!",None,0.0,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
204,144,"ummm...  I'm pretty sure that the BOX can go across, but someone has to paddle it across...",5,1,-1.,1.,0.66666667,-0.9,-0.6,-1.,-1.,-0.05555556,0,"Remember that, the weight of the box of chocolates can’t be more than 200 ounces.",None,0.01,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
205,144,smaller,,,-1.,1.,0.66666667,-0.9,-1.,-1.,-1.,-0.05555556,0,"Because 180 is smaller than 200, you should be safe to board the boat with the chocolates.",None,-0.14500000000000002,2,True,8,8,0,26,"11-01-2020-13:40:53-PST
"
230,148,Can I have pointers?,3,3,1.,-0.25,0.,-0.7,-1.,-1.,1.,0.05555556,2,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,None,0.0,4,True,3,8,5,28,"11-01-2020-13:40:53-PST
"
231,148,what is 90 divided by 2?,4,1,1.,-0.25,0.33333333,-0.9,-1.,-1.,1.,0.05555556,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",None,0.01,4,True,3,8,5,28,"11-01-2020-13:40:53-PST
"
232,148,What is the length of the box,,,1.,-0.25,-0.33333333,-0.1,-1.,-1.,1.,0.05555556,2,We’re almost there! We’re so close to getting to cross the river and saving the villagers from the fire.,None,4.988,4,True,3,8,5,28,"11-01-2020-13:40:53-PST
"
233,153,ok,,,0.,-0.25,0.,-0.8,1.,-1.,-1.,-0.44444444,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,3.998,3,True,3,6,4,19,"11-01-2020-13:40:53-PST
"
235,161,What is the answer?,3,14,-1.,-0.75,0.,0.4,-1.,-1.,1.,-0.66666667,1,:),True,0.1,2,False,1,0,0,15,"11-07-2020-11:18:45-PST
"
236,161,Is it 10?,,,-1.,-0.75,0.,0.4,-1.,-1.,-1.,-0.66666667,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,-8,2,False,1,0,0,15,"11-07-2020-11:18:45-PST
"
237,162,"Thankyou Betty,",1,4,0.,0.75,-0.66666667,-0.6,-1.,-1.,-1.,-0.83333333,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,3,True,7,6,0,12,"11-07-2020-12:09:03-PST
"
238,162,i am doing math now,3,1,0.,0.75,0.,-0.9,-1.,-1.,-1.,-0.83333333,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,0.01,3,True,7,6,0,12,"11-07-2020-12:09:03-PST
"
239,162,thanks,3,1,0.,0.75,0.,-0.9,1.,-1.,-1.,-0.83333333,3,Hm… I suggest thinking about the concept of a unit cube and the volume of a unit cube. It may remind you of what you need in order to calculate the volume of the box!,None,0.0,3,True,7,6,0,12,"11-07-2020-12:09:03-PST
"
240,162,Betty I need help,,,0.,0.75,0.33333333,-0.9,0.148,-1.,1.,-0.83333333,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",True,0.072,3,True,7,6,0,12,"11-07-2020-12:09:03-PST
"
241,159,im stuck,1,66,-1.,-0.25,-0.66666667,5.6,-1.,0.334,1.,-0.94444444,2,"If we put our minds together, we can figure this problem out!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
242,159,wats the anser,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,3,Hm... let's keep thinking!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
243,159,wats the anser,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.11,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
244,159,wats the anser!!!!,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,2,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
245,159,wats the anser!!!!!!!!,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,2,"If we put our minds together, we can figure this problem out!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
246,159,o        k,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,2,We need to solve this problem to stop the natural disaster. I believe in you!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
247,159,ya,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,2,You’re almost there. Just keep trying!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
248,159,ok,1,66,-1.,-0.25,-0.66666667,5.6,1.,-1.,-1.,-0.94444444,2,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
249,159,i need a hint,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,1.,-0.94444444,2,You’re doing a great job so far. Just keep trying!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
250,159,i need a hint,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,1.,-0.94444444,2,I love a good challenge. Let’s regroup and think about this some more.,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
251,159,i need a hint,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,1.,-0.94444444,2,"This problem is tough, but I know that we can finish it if we think hard enough. Keep trying!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
252,159,i need help,1,66,-1.,-0.25,-0.66666667,5.6,0.46,-1.,1.,-0.94444444,2,I’m so glad you’re here to help. I know you can solve this problem!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
253,159,spoil it,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,2,"You’ve just about got it. Don’t give up, yet!",None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
254,159,do it,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,1.,-0.94444444,1,:),None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
255,159,i cant do it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,1.,-0.94444444,2,We need to solve this problem to stop the natural disaster. I believe in you!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
256,159,dont do it one more time,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,1.,-0.94444444,3,Hm... let's keep thinking!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
257,159,ok!,1,66,-1.,-0.25,-0.66666667,5.6,1.,-1.,-1.,-0.94444444,2,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
258,159,no i cant,1,66,-1.,-0.25,-0.66666667,5.6,-1.,0.376,-1.,-0.94444444,1,:),None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
259,159,hihghujkjhgfgghjkhvgfghjnmbgfrtghnbgftgh,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,2,You’re super close! Let’s think about this a little more and try again.,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
260,159,tell me the anser,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,1,:),None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
261,159,are you goinn to help me,1,66,-1.,-0.25,-0.66666667,5.6,-0.298,-1.,1.,-0.94444444,2,You’re almost there. Just keep trying!,None,0.0,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
262,159,i dont now the anser,1,66,-1.,-0.25,-0.66666667,5.6,-1.,-1.,1.,-0.94444444,1,:),True,0.1,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
263,159,i give up,,,-1.,-0.25,-0.66666667,5.6,-1.,-1.,-1.,-0.94444444,1,:),None,-8,2,False,3,3,1,10,"11-07-2020-12:13:39-PST
"
264,179,i need a hint,0,8,1.,0.25,-1.,-0.2,-1.,-1.,1.,-0.33333333,2,"If we put our minds together, we can figure this problem out!",True,0.1,4,True,5,5,2,21,"11-07-2020-14:01:07-PST
"
265,179,help,0,8,1.,0.25,-1.,-0.2,1.,-1.,1.,-0.33333333,2,The people in the village need you! Keep working hard.,True,0.1,4,True,5,5,2,21,"11-07-2020-14:01:07-PST
"
266,179,help,0,8,1.,0.25,-1.,-0.2,1.,-1.,1.,-0.33333333,1,:),None,0.0,4,True,5,5,2,21,"11-07-2020-14:01:07-PST
"
267,179,help,0,8,1.,0.25,-1.,-0.2,1.,-1.,1.,-0.33333333,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,4,True,5,5,2,21,"11-07-2020-14:01:07-PST
"
268,179,help,,,1.,0.25,-1.,-0.2,1.,-1.,1.,-0.33333333,2,I love a good challenge. Let’s regroup and think about this some more.,None,1.988,4,True,5,5,2,21,"11-07-2020-14:01:07-PST
"
269,168,I need help,,,1.,-0.5,0.,-0.6,0.46,-1.,1.,-0.55555556,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",True,5.098,4,True,2,7,5,17,"11-07-2020-14:39:59-PST
"
270,163,grrrrr,4,1,-1.,-0.25,0.33333333,-0.9,-1.,-1.,-1.,-0.94444444,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",None,0.01,2,True,3,4,1,10,"11-08-2020-11:07:58-PST
"
271,163,HELP!,3,9,-1.,-0.25,0.,-0.1,1.,-1.,1.,-0.94444444,2,You’re super close! Let’s think about this a little more and try again.,None,0.0,2,True,3,4,1,10,"11-08-2020-11:07:58-PST
"
272,163,You are not helpful.,,,-1.,-0.25,0.,-0.1,-1.,-0.126,-1.,-0.94444444,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,0.9849999999999999,2,True,3,4,1,10,"11-08-2020-11:07:58-PST
"
273,181,Need help,0,3,0.,0.75,-1.,-0.7,0.46,-1.,1.,-0.94444444,1,:),True,0.1,3,True,7,8,1,10,"11-08-2020-12:19:17-PST
"
274,181,I need help,0,3,0.,0.75,-1.,-0.7,0.46,-1.,1.,-0.94444444,2,You’re doing a great job so far. Just keep trying!,None,0.0,3,True,7,8,1,10,"11-08-2020-12:19:17-PST
"
275,181,Help,2,10,0.,0.75,-0.33333333,0.,1.,-1.,1.,-0.94444444,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,3,True,7,8,1,10,"11-08-2020-12:19:17-PST
"
276,181,I don't get it,2,10,0.,0.75,-0.33333333,0.,-1.,-1.,1.,-0.94444444,1,:),None,0.0,3,True,7,8,1,10,"11-08-2020-12:19:17-PST
"
277,181,HELP,2,10,0.,0.75,-0.33333333,0.,1.,-1.,1.,-0.94444444,2,"You’re doing a great job. If we keep working like this, we’ll be done in no time!",None,0.0,3,True,7,8,1,10,"11-08-2020-12:19:17-PST
"
278,181,How to measure length,,,0.,0.75,-0.33333333,0.,-1.,-1.,1.,-0.94444444,1,:),None,0.9879999999999999,3,True,7,8,1,10,"11-08-2020-12:19:17-PST
"
279,171,What is the length?,2,7,0.,-1.,-0.33333333,-0.3,-1.,-1.,1.,-0.38888889,2,I’m so glad you’re here to help. I know you can solve this problem!,True,0.1,3,True,0,5,5,20,"11-08-2020-13:24:03-PST
"
280,171,Can I have a hint?,,,0.,-1.,0.,-0.8,-1.,-1.,1.,-0.38888889,2,We need to solve this problem to stop the natural disaster. I believe in you!,True,5.101,3,True,0,5,5,20,"11-08-2020-13:24:03-PST
"
281,196,Hey Buster,2,2,1.,1.,-0.33333333,-0.8,-1.,-1.,-1.,0.05555556,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,4,True,8,8,0,28,"11-08-2020-14:11:43-PST
"
282,196,I need help on finding the length,,,1.,1.,-0.33333333,-0.8,-0.298,-1.,1.,0.05555556,3,Hm... let's keep thinking!,None,-0.012,4,True,8,8,0,28,"11-08-2020-14:11:43-PST
"
287,174,we do 90x2,,,1.,1.,0.33333333,-0.9,-1.,-1.,1.,-0.88888889,1,:),None,0.001,4,True,8,7,0,11,"11-08-2020-14:34:10-PST
"
288,177,okay never mind,4,1,-1.,0.,0.33333333,-0.9,-0.026,-1.,-1.,-0.05555556,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",None,0.01,2,True,4,2,0,26,"11-08-2020-16:31:37-PST
"
289,177,okay thanks,4,1,-1.,0.,0.33333333,-0.9,1.,-1.,-1.,-0.05555556,0,"If you multiply the weight per chocolate with the number of chocolates, you will get how much the box of chocolates weighs.",None,0.01,2,True,4,2,0,26,"11-08-2020-16:31:37-PST
"
290,177,uh do you know what 3*5*6=?,,,-1.,0.,0.,-0.8,-1.,-1.,1.,-0.05555556,1,:),True,0.07500000000000001,2,True,4,2,0,26,"11-08-2020-16:31:37-PST
"
336,198,Im stuck could you please help me Yeti?,3,6,1.,-0.5,0.,-0.4,-0.166,-0.666,1.,-0.66666667,3,Try thinking about the concept of volume to solve this problem.,True,0.1,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
337,198,I need help,3,6,1.,-0.5,0.,-0.4,0.46,-1.,1.,-0.66666667,2,The people in the village need you! Keep working hard.,True,0.1,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
338,198,Im sorry I need help,3,6,1.,-0.5,0.,-0.4,-0.1,-0.566,1.,-0.66666667,2,This problem doesn’t stand a chance against us!,None,0.0,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
339,198,(I didn't mean the 2nd helpful part) But please I need help,3,6,1.,-0.5,0.,-0.4,-0.012,-1.,1.,-0.66666667,2,We need to solve this problem to stop the natural disaster. I believe in you!,None,0.0,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
340,198,I need help,3,6,1.,-0.5,0.,-0.4,0.46,-1.,1.,-0.66666667,2,"You’re doing a great job. If we keep working like this, we’ll be done in no time!",None,0.0,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
341,198, Im stuck please help me,3,6,1.,-0.5,0.,-0.4,0.112,-0.556,1.,-0.66666667,2,This problem doesn’t stand a chance against us!,None,0.0,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
342,198,I don't know,3,6,1.,-0.5,0.,-0.4,-1.,-1.,1.,-0.66666667,2,"You’ve just about got it. Don’t give up, yet!",None,0.0,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
343,198,Can I have some help?,3,6,1.,-0.5,0.,-0.4,-0.052,-1.,1.,-0.66666667,2,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,None,0.0,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
344,198,Im stuck ,3,6,1.,-0.5,0.,-0.4,-1.,0.334,1.,-0.66666667,1,:),None,0.0,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
345,198,Im stuck could you please help me Yeti?,,,1.,-0.5,0.,-0.4,-0.166,-0.666,1.,-0.66666667,1,:),None,-8,4,False,2,0,0,15,"11-09-2020-16:31:43-PST
"
346,188,Great!,0,4,1.,-0.25,-1.,-0.6,1.,-1.,-0.13746133,0.38888889,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.11,4,True,3,3,0,34,"11-09-2020-16:37:40-PST
"
347,188,this is hard,2,5,1.,-0.25,-0.33333333,-0.5,-1.,-0.176,1.,0.38888889,2,"You’ve just about got it. Don’t give up, yet!",True,0.1,4,True,3,3,0,34,"11-09-2020-16:37:40-PST
"
348,188,can I,,,1.,-0.25,0.,-0.2,-1.,-1.,-0.03631976,0.38888889,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,-0.015000000000000003,4,True,3,3,0,34,"11-09-2020-16:37:40-PST
"
349,195,,0,1,-1.,0.,-1.,-0.9,-1.,-1.,-1.,0.33333333,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,2,True,4,7,3,33,"11-09-2020-18:11:51-PST
"
350,195,Ok! Thanks!,,,-1.,0.,-1.,-0.9,1.,-1.,-0.1063473,0.33333333,2,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,True,3.088,2,True,4,7,3,33,"11-09-2020-18:11:51-PST
"
351,193,do you think it is 3? i think it is 3,0,1,1.,0.25,-1.,-0.9,-1.,-1.,1.,-0.55555556,1,:),True,0.1,4,True,5,5,1,17,"11-09-2020-18:16:34-PST
"
352,193,hmm,1,1,1.,0.25,-0.66666667,-0.9,-1.,-1.,-0.24409562,-0.55555556,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.11,4,True,5,5,1,17,"11-09-2020-18:16:34-PST
"
353,193,90 is what I think it is,3,1,1.,0.25,0.,-0.9,-1.,-1.,1.,-0.55555556,3,Try thinking about the concept of volume to solve this problem.,True,0.1,4,True,5,5,1,17,"11-09-2020-18:16:34-PST
"
354,193,i am a bit confused...,2,1,1.,0.25,-0.33333333,-0.9,-1.,-1.,1.,-0.55555556,2,"Hey, let’s think this through together. I know we can do it!",True,0.1,4,True,5,5,1,17,"11-09-2020-18:16:34-PST
"
355,193,"i think it is 6, but i am not sure...",,,1.,0.25,-0.33333333,-0.9,-1.,-1.,-0.02507096,-0.55555556,0,You can move your mouse close to the box to turn it into a chocolate!,True,1.085,4,True,5,5,1,17,"11-09-2020-18:16:34-PST
"
